Date,Open,High,Low,Close,Volume,Adj Close
2011-07-01,7374.490234,7523.529785,6996.259766,7158.77002,31752200,7158.77002
2011-06-01,7310.560059,7378.350098,6991.620117,7376.240234,35460900,7376.240234
2011-05-02,7570.859863,7600.410156,7071.419922,7293.689941,44367200,7293.689941
2011-04-01,7086.560059,7514.689941,6994.560059,7514.459961,37474600,7514.459961
2011-03-01,7309.799805,7356.330078,6483.390137,7041.310059,43517700,7041.310059
2011-02-01,7133.339844,7441.819824,7093.910156,7272.319824,38513000,7272.319824
2011-01-03,6973.390137,7180.149902,6835.740234,7077.47998,39413100,7077.47998
2010-12-01,6748.359863,7087.839844,6736.689941,6914.189941,27035100,6914.189941
2010-11-01,6637.089844,6907.609863,6586.009766,6688.490234,34872200,6688.490234
2010-10-01,6244.060059,6668.540039,6115.870117,6601.370117,33222500,6601.370117
2010-09-01,5936.939941,6339.970215,5876.430176,6229.02002,34702500,6229.02002
2010-08-02,6187.640137,6386.970215,5833.509766,5925.220215,28255100,5925.220215
2010-07-01,5885.609863,6253.640137,5809.370117,6147.970215,29675200,6147.970215
2010-06-01,5943.939941,6330.810059,5798.759766,5965.52002,36000500,5965.52002
2010-05-03,6122.759766,6276.799805,5607.680176,5964.330078,54260100,5964.330078
2010-04-01,6189.379883,6341.52002,6024.009766,6135.700195,45269400,6135.700195
2010-03-01,5652.850098,6203.50,5641.180176,6153.549805,33587000,6153.549805
2010-02-01,5587.50,5743.890137,5433.02002,5598.459961,35081700,5598.459961
2010-01-04,5975.52002,6094.259766,5540.330078,5608.790039,36140600,5608.790039
2009-12-01,5653.879883,6026.689941,5605.430176,5957.430176,27356800,5957.430176
2009-11-02,5410.609863,5843.27002,5312.640137,5625.950195,30459500,5625.950195
2009-10-01,5681.879883,5888.209961,5394.799805,5414.959961,35515300,5414.959961
2009-09-01,5479.350098,5760.830078,5263.109863,5675.160156,32702500,5675.160156
2009-08-03,5330.870117,5575.529785,5158.600098,5458.040039,26317000,5458.040039
2009-07-01,4820.609863,5396.950195,4524.009766,5332.140137,26985300,5332.140137
2009-06-01,4992.100098,5177.589844,4669.799805,4808.640137,28689500,4808.640137
2009-05-01,4769.450195,5060.759766,4653.25,4940.819824,32585100,4940.819824
2009-04-01,4074.790039,4837.220215,3997.459961,4769.450195,36188300,4769.450195
2009-03-02,3817.51001,4272.120117,3588.889893,4084.76001,34158800,4084.76001
2009-02-02,4309.169922,4688.589844,3764.689941,3843.73999,32209100,3843.73999
2009-01-02,4856.850098,5111.02002,4067.429932,4338.350098,32728400,4338.350098
2008-12-01,4653.120117,4850.390137,4304.029785,4810.200195,33620200,4810.200195
2008-11-03,5053.939941,5302.569824,4034.959961,4669.439941,44958700,4669.439941
2008-10-01,5865.080078,5876.930176,4014.600098,4987.970215,89932400,4987.970215
2008-09-01,6400.850098,6553.899902,5658.200195,5831.02002,24755800,5831.02002
2008-08-01,6461.009766,6626.700195,6219.100098,6422.299805,5291400,6422.299805
2008-07-01,6394.080078,6577.100098,5999.319824,6479.560059,000,6479.560059
2008-06-02,7098.700195,7102.049805,6308.240234,6418.319824,000,6418.319824
2008-05-02,6982.060059,7231.859863,6905.859863,7096.790039,000,7096.790039
2008-04-01,6519.02002,6966.470215,6496.939941,6948.819824,000,6948.819824
2008-03-03,6692.97998,6720.160156,6167.819824,6534.970215,000,6534.970215
2008-02-01,6896.189941,7079.740234,6655.649902,6748.129883,000,6748.129883
2008-01-02,8045.970215,8100.640137,6384.399902,6851.75,000,6851.75
2007-12-03,7859.390137,8117.790039,7777.399902,8067.319824,000,8067.319824
2007-11-01,8024.410156,8038.410156,7444.620117,7870.52002,000,7870.52002
2007-10-01,7851.290039,8063.830078,7763.640137,8019.220215,000,8019.220215
2007-09-03,7643.640137,7882.180176,7369.700195,7861.509766,000,7861.509766
2007-08-01,7472.359863,7659.720215,7190.359863,7638.169922,000,7638.169922
2007-07-02,7969.27002,8151.569824,7372.890137,7584.140137,000,7584.140137
2007-06-01,7891.200195,8131.72998,7499.430176,8007.319824,000,8007.319824
2007-05-02,7429.930176,7895.709961,7304.609863,7883.040039,000,7883.040039
2007-04-02,6911.129883,7436.299805,6891.799805,7408.870117,000,7408.870117
2007-03-01,6714.25,6965.839844,6437.25,6917.029785,000,6917.029785
2007-02-01,6821.310059,7040.200195,6640.990234,6715.439941,000,6715.439941
2007-01-02,6614.72998,6805.089844,6531.25,6789.109863,000,6789.109863
2006-12-01,6322.180176,6629.330078,6195.810059,6596.919922,000,6596.919922
2006-11-01,6262.709961,6497.060059,6201.00,6309.189941,5763600,6309.189941
2006-10-02,6019.339844,6304.779785,5944.569824,6268.919922,14962500,6268.919922
2006-09-01,5861.25,6031.549805,5737.200195,6004.330078,000,6004.330078
2006-08-01,5678.009766,5886.779785,5557.589844,5859.569824,000,5859.569824
2006-07-03,5688.00,5729.589844,5365.060059,5681.970215,000,5681.970215
2006-06-01,5677.529785,5778.779785,5243.709961,5683.310059,000,5683.310059
2006-05-02,6014.379883,6162.370117,5513.430176,5692.859863,000,5692.859863
2006-04-03,5989.080078,6121.950195,5860.50,6009.890137,000,6009.890137
2006-03-01,5806.959961,5993.899902,5664.189941,5970.080078,000,5970.080078
2006-02-01,5662.049805,5916.799805,5598.049805,5796.040039,000,5796.040039
2006-01-02,5410.240234,5697.009766,5290.490234,5674.149902,000,5674.149902
2005-12-01,5210.540039,5469.959961,5208.490234,5408.259766,000,5408.259766
2005-11-01,4922.910156,5241.00,4891.620117,5193.399902,000,5193.399902
2005-10-03,5060.990234,5138.02002,4762.75,4929.069824,000,4929.069824
2005-09-01,4846.660156,5061.839844,4816.669922,5044.120117,000,5044.120117
2005-08-01,4882.390137,4990.569824,4726.330078,4829.689941,000,4829.689941
2005-07-01,4584.439941,4913.02002,4444.939941,4886.50,000,4886.50
2005-06-01,4467.319824,4637.339844,4467.040039,4586.279785,000,4586.279785
2005-05-02,4208.629883,4482.02002,4205.049805,4460.629883,000,4460.629883
2005-04-01,4348.029785,4422.879883,4157.509766,4184.839844,000,4184.839844
2005-03-01,4345.240234,4435.310059,4275.549805,4348.77002,000,4348.77002
2005-02-01,4256.649902,4409.089844,4249.689941,4350.490234,000,4350.490234
2005-01-03,4260.919922,4325.77002,4160.830078,4254.850098,000,4254.850098
2004-12-01,4108.549805,4272.180176,4107.620117,4256.080078,2053800,4256.080078
2004-11-01,3961.179932,4219.049805,3959.25,4126.00,000,4126.00
2004-10-01,3895.149902,4078.50,3838.97998,3960.25,000,3960.25
